dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Análise de radiação não-ionizante emitida por estações rádio-base com perdas calculadas pelo modelo de ikegami-walfisch,"Wanderley, Paulo Henrique Sales",2009-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1581,,Acesso Aberto,,Radiação não-ionizante||Propagação eletromagnética||Antenas (Eletrônica)||Modelo de Ikegami-Walfisch,Dissertação
Análise de risco da viabilidade técnico-econômica de uma usina híbrida composta por uma usina heliotérmica com armazenamento térmico e por uma usina fotovoltaica com armazenamento por baterias,"Menezes, Breno de Almeida",2024-09-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51748,,,Acesso Aberto,Energia solar concentrada||Energia solar fotovoltaica||Energia elétrica - consumo||Energia renovável||Usinas hibidas,Dissertação
Análise de risco em novos empreendimentos considerando o índice de custo benefício,"Brandão, Lucas Guimarães Lins",2009-12-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8242,,Acesso Aberto,,Engenharia elétrica - investimentos - análise||Serviços de eletricidade - leilões||Energia térmica - fontes alternativas,Dissertação
Análise de ruído e simulação de enlace em comunicações através da terra,"Neves, Sávio Oliveira de Almeida",2017-07-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/25191,http://dx.doi.org/10.26512/2017.07.D.25191,,Acesso Aberto,Comunicação||Ruído atmosférico||Ruído||Minas e mineração,Dissertação
Análise de sensibilidade paramétrica da proteção de distância de linhas com compensação série,"Tavares, Ina Tayane Barbosa",2018-06-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34261,,,Acesso Aberto,Linhas de transmissão - proteção diferencial||Compensação série||Proteção de distância,Dissertação
Análise de técnicas baseadas em metaheurísticas e dominação de grafos para clustering em redes ad hoc,"Garcia, Helton Fabiano",2006-08-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4590,http://dx.doi.org/10.26512/2006.08.D.4590,Acesso Aberto,,Análise por conglomerados||Redes de computação,Dissertação
Análise de técnicas de otimização multiobjetivo para o posicionamento de controladores em redes SDN,"Christófaro, Ana Carolina de Oliveira",2018-03-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/32399,,,Acesso Aberto,Redes de computação - avaliação||Arquitetura - programas de computador||Otimização de redes,Dissertação
Análise de vulnerabilidade de redes de comunicações por meio de métricas estruturais e espectrais de conectividade,"Teixeira, Antônio Celso Guimarães",2015-08-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20221,http://dx.doi.org/10.26512/2015.08.D.20221,Acesso Aberto,,Telecomunicações - Brasil||Telecomunicações - vulnerabilidade||Redes de telecomunicações - segurança,Dissertação
Análise do comportamento do fator de desequilíbrio frente a variação da amplitude e do ângulo da tensão,"Ferreira Filho, Anésio de Leles",2008-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1335,,,Acesso Aberto,Energia elétrica||Controle de qualidade||Engenharia elétrica,Tese
Análise do comportamento dos descritores biomecânicos e eletromiográficos de superfície em exercício resistido por dinamometria isocinética com produção de fadigaAnálise do comportamento dos descritores biomecânicos e eletromiográficos de superfície em exercício resistido por dinamometria isocinética com produção de fadiga,"Schwartz, Fabiano Peruzzo",2010-12-23,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9518,,Acesso Aberto,,Engenharia elétrica||Processamento de imagens||Músculos - fadiga,Tese
Análise do desempenho da proteção diferencial aplicada às linhas de transmissão de ultra-alta tensão,"Alves, Raquel Schaeffer Batista",2014-12-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),repositorio.unb.br/handle/10482/17848,http://dx.doi.org/10.26512/2014.12.D.17848,Acesso Aberto,,Linhas de transmissão - proteção diferencial||Proteção diferencial - análise||Corrente capacitiva,Dissertação
Análise do enlace de descida cooperativo em sistemas celulares MIMO-OFDMA,"Souza, Edgar Barbosa de",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4124,,Acesso Aberto,,Telefonia celular,Dissertação
Análise do impacto da migração em larga escala dos serviços de voz da RTPC para a rede IP de um provedor de serviço,"Andrade, Loriza Pereira de",2008-06-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1465,,,Acesso Aberto,Voz sobre IP||Simulação de rede||Qualidade de serviço||Migração RTPC,Dissertação
Análise do impacto de transitórios de transformadores de potencial capacitivos sobre o desempenho das proteções de distância TD21 e PH21,"Custódio, Edson de Assis",2019-11-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38229,,,Acesso Aberto,Linhas de transmissão||Proteção de distância||Engenharia elétrica,Dissertação
Análise do perfil do profissional de tecnologia da informação e comunicação a partir da percepção interna do setorAnálise do perfil do profissional de tecnologia da informação e comunicação a partir da percepção interna do setor,"Castro, Marcelo Stehling de",2010-06-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7217,,Acesso Aberto,,Tecnologia da informação||Profissional da informação,Tese
Análise do sensoriamento espectral por detecção de energia,"Chaves, Daniel Sant' Anna",2012-10-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13028,,Acesso Aberto,,Análise espectral||Rádio||Energia||Eletrotécnica,Dissertação
Análise do tempo de vida de enlaces em redes móveis Ad Hoc para o modelo Random Waypoint,"Colletti, Roberto Ramos",2014-08-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17214,,Acesso Aberto,,Redes de computadores||Computação móvel,Dissertação
