dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
DAP (Dynamic Authorization Protocol) : uma abordagem segura out-of-band para e-bank com um segundo fator de autenticação visualDAP (Dynamic Authorization Protocol) : uma abordagem segura out-of-band para e-bank com um segundo fator de autenticação visual,"Melo, Laerte Peotta de",2012-08-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12963,,Acesso Aberto,,Computadores - medidas de segurança||Redes de computação - protocolos||Criptografia de dados (Computação)||Internet banking,Tese
Deep learning based objective quality assessment of multidimensional visual content,"Alamgeer, Sana",2022-07-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/45117,,,Acesso Aberto,Qualidade visual||Campos de luz 4D||Atenção visual||Aprendizado profundo||Recursos de gargalo,Tese
Deep reinforcement learning applied to power control in D2D communications,"Pires, Lucas Baião",2021-06-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/42018,,,Acesso Aberto,Aprendizagem por reforço||Comunicação D2D||Aprendizagem profunda||5G,Dissertação
Deep Reinforcement Learning e Hiper-Heurística aplicados à alocação de recursos em sistemas de comunicações 6G com comunicações D2D e sensoreamento,"Cardoso, Gabriel Pimenta de Freitas",2024-05-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50917,,,Acesso Aberto,Indústria 4.0||Aprendizagem por reforço||Comunicação D2D,Dissertação
Definição de parâmetros para o estudo da fadiga muscular em exercícios dinâmicos utilizando a metodologia acumulativa-normalizada por meio de eletromiografia,"Silva, Hédipo José Ribeiro e",2018-08-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34142,,,Acesso Aberto,Fadiga muscular||Eletromiografia de superfície||Wavelets (Matemática)||Processamento de sinais||Sinais eletromiográficos,Dissertação
Deforestation detection in sar images using deep neural networks,"Correia, Igor Bispo de Moraes Coelho",2024-06-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50921,,,Acesso Aberto,Sensoriamento remoto||Redes neurais convolucionais (Computação)||Radar de Abertura Sintética (SAR)||Desmatamento,Dissertação
Descritor local baseado no algoritmo SIFT para rastreamento e segmentação de objetos em vídeos via grafos de regiões,"Mendonça, Gustavo Maia Queiroz de",2016-02-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21250,http://dx.doi.org/10.26512/2016.02.D.21250,Acesso Aberto,,Grafos||Algoritmos||Rastreamento de objetos,Dissertação
Desenvolvimento de ambiente computacional dedicado à caracterização e à medição do canal rádio-móvel não seletivo em frequência na faixa de UHF,"Melo, Elmo Vasconcelos de",2007-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3039,,Acesso Aberto,,Radiodifusão||Ondas de rádio||Computação,Dissertação
Desenvolvimento de estratégia de pré-codificação e de predição de canal para o enlace direto de Sistemas MIMO Multiusuário,"Leite, João Paulo",2009-08-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4349,,Acesso Aberto,,Circuitos integrados||Algoritmos||Simulação (Computadores),Dissertação
Desenvolvimento de ferramenta computacional e hardware conectado à nuvem para avaliação em tempo real do potencial de geração solar fotovoltaica,"Almeida, Kevin Augusto Teixeira de",2025-06-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/53042,,,Acesso Aberto,Geração solar fotovoltaica||Sistemas fotovoltaicos||Potencial de geração fotovoltaico||Energia solar||Processamento em nuvem,Dissertação
Desenvolvimento de filtro passa-faixa banda larga com zeros de transmissão para sistemas de comunicação Ultra-Wideband (UWB),"Zuluaga, Sara Maria Yepes",2007-05-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2819,,Acesso Aberto,,Filtros elétricos||Sistemas de comunicação de microondas||Algoritmos||Engenharia elétrica,Dissertação
Desenvolvimento de melhorias para a gestão em projetos usando sistemas dinâmicos e análise do ponto de inflexão,"Amaral, Adriano Oliveira",2008,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2268,,Acesso Aberto,,Projetos,Dissertação
Desenvolvimento de prótese transfemural robótica : projeto mecânico e de atuação,"Rocha, Thiago Silva",2015-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22225,http://dx.doi.org/10.26512/2015.08.D.22225,Acesso Aberto,,Próteses mecânicas||Robótica||Joelhos||Biomecânica,Dissertação
"Desenvolvimento de soluções visuais, de usabilidade, de monitoramento e de interação automática para plataformas de educação à distância","Almeida, Luciano Rosa de",2017-03-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23621,http://dx.doi.org/10.26512/2017.03.D.23621,,Acesso Aberto,Ensino a distância - Brasil||Tecnologia em educação||Ambientes virtuais de aprendizagem,Dissertação
Desenvolvimento de técnica de sensoriamento do espectro embasada em detecção de energia para aplicações em sistemas rádio-cognitivos,"Almeida, Erika Portela Lopes de",2010-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5846,,Acesso Aberto,,Engenharia elétrica||Sensoriamento espectral||Espectro de frequência,Dissertação
Desenvolvimento de um protótipo de neuroestimulador bifásico para pacientes acometidos de dor crônica,"Oliveira, Mileny Ximenes",2016-08-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22322,http://dx.doi.org/10.26512/2016.08.D.22322,Acesso Aberto,,Dor crônica||Estimulação medular||Neuroestimulador||Neuroengenharia,Dissertação
Desenvolvimento de um sistema de aquisição e processamento de sinais eletromiográficos de superfície para a utilização no controle de próteses motoras ativas,"Andrade, Nei Augusto",2007-09-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3870,,Acesso Aberto,,Eletromiografia||Biomecânica||Engenharia elétrica,Dissertação
Desenvolvimento de um sistema de controle de fluxo esofagiano para o tratamento da obesidadeDesenvolvimento de um sistema de controle de fluxo esofagiano para o tratamento da obesidade,"Rosa, Suélia de Siqueira Rodrigues Fleury",2008-11||2008-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1559,,Acesso Aberto,,Obesidade||Bioengenharia||Digestão - esôfago,Tese
Desenvolvimento de um sistema de gerenciamento do processamento de impressão de imagens médicas digitais utilizando o protocolo DICOM,"Martins Júnior, Antônio Real",2006-12-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3332,,Acesso Aberto,,Informática||Medicina||Engenharia elétrica||Transmissão da informação,Dissertação
Desenvolvimento de um sistema de localização 3D para aplicação em robôs aéreos,"Bó, Antônio Padilha Lanari",2007-07-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3025,,Acesso Aberto,,Engenharia elétrica||Projeto de sistemas||Robôs móveis,Dissertação
Desenvolvimento de um sistema de transmissão de imagens médicas cifradas utilizando o protocolo DICOM,"Lima, Francisco Marcelo Marques",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4042,,Acesso Aberto,,Engenharia elétrica||Redes de computação - protocolos||Tecnologia médica,Dissertação
Desenvolvimento de uma interface integrada para o projeto e análise de antenas utilizando o método das diferenças finitas no domínio do tempo (FDTD),"Picanço, Renato Proença",2008-03-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2172,,Acesso Aberto,,Antenas (Eletrônica)||Diferenças finitas||Engenharia elétrica,Dissertação
Desenvolvimento de uma memória associativa estocástica utilizando transistores mono-elétron,"Carmo, Helen Carvalho do",2006-12-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6894,,Acesso Aberto,,Transistores||Redes neurais (Computação)||Memória associativa (Engenharia Elétrica),Dissertação
Desenvolvimento de uma nova ferramenta CAD para o estudo de compatibilidade eletromagnética usando Transmission-Line Matrix - John’s Super Node (TLM-JSN),"Carvalho Júnior, Carlos Alberto Tenório de",2006-03-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6901,http://dx.doi.org/10.26512/2006.03.T.6901,Acesso Aberto,,Modelagem numérica||Circuitos integrados||Engenharia elétrica,Tese
Desenvolvimento do modelo de engenharia de um propulsor hall usando simulação numérica térmica,"Porto, Marconi Campos Ferreira",2021-07-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Mecânica (FT ENM),http://repositorio.unb.br/handle/10482/49033,,,Acesso Aberto,Propulsor Hall||Dissipação térmica||Algoritmos bioinspirados,Dissertação
Desenvolvimento Symbian na plataforma serie 60,"Iida, Renato Faria",2006-09-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5724,,Acesso Aberto,,Telefonia celular||Linguagem de programação (Computadores),Dissertação
Design of arbitrary order dynamical output feedback protocols for multi-agent systems over directed communication graphs,"Silva, Bruno Martins Calazans",2024-07-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50926,,,Acesso Aberto,Sistemas lineares||Sistemas Multiagentes (SMA)||Desigualdades matriciais lineares,Tese
"Design, diffusion, and cryptanalysis of symmetric primitive","Silva, Murilo Coutinho",2022-11-25,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/45865,,,Acesso Aberto,Criptografia||Criptoanálise||Generalizações contínuas||Análise de Difusão Contínua (CDA),Tese
"Design, optimization and integration of Doherty power amplifier for 3g/4g mobile communicationsDesign, optimization and integration of Doherty power amplifier for 3g/4g mobile communications","Carneiro, Marcos Lajovic",2013-12-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15244,,Acesso Aberto,,Amplificadores eletrônicos||Sistemas de comunicação móvel,Tese
Detecção cega de tráfego malicioso através da variação temporal do maior autovalor,"Tenório, Danilo Fernandes",2013-12-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15398,,Acesso Aberto,,Redes de computação - medidas de segurança||Redes de informação - sistemas de segurança,Dissertação
Detecção de compressão dupla AMR usando características de voz no domínio da compressão,"Sampaio, José Fabrizio Pereira",2020-12-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/52989,,,Acesso Aberto,Codificador AMR||Áudio forense||Compressão dupla||Domínio da compressão||Escalonamento robusto||Seleção de características,Tese
Detecção de phishing : métodos baseados em processamento de linguagem natural,"Gualberto, Éder Souza",2020-12-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40415,,,Acesso Aberto,Phishing - detecção||Linguagem natural - processamento||Golpes virtuais - prevenção,Tese
Detecção de pornografia infantil em imagens através de técnicas de aprendizado profundo,"Vitorino, Paulo Roberto Rocha",2016-12-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22757,http://dx.doi.org/10.26512/2016.12.D.22757,Acesso Aberto,,Pornografia||Aprendizagem profunda||Redes neurais||Aprendizagem de máquina||Análise de imagens,Dissertação
Detecção de posição e quedas corporais baseado em K-means clustering eThreshold,"Malheiros, Larinni",2017-12-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/31978,,,Acesso Aberto,Quedas (acidentes) em idosos||Aprendizagem de máquina||Monitoramento em saúde||Protótipo||Idosos - cuidados médicos,Dissertação
Detecção de tráfego anômalo de rede utilizando clusterização em Big Data,"Rocha, Mateus Almeida",2020-12-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40756,,,Acesso Aberto,Big data||K-prototypes||Clusterização||Detecção de intrusão,Dissertação
Detecção de tumores cerebrais utilizando redes neurais convolucionais guiadas por mapas de saliência,"Oliveira, Paulo Henrique de Castro",2022-10-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/45968,,,Acesso Aberto,Aprendizagem de máquina||Tumores - detecção||Detecção de tumor cerebral||Processamento de imagens||Mapas de saliência||Redes neurais convolucionais,Dissertação
Detecção de variantes metamórficas de Malware por Comparação de Códigos Normalizados,"Cozzolino, Marcelo Freire",2012-02-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10421,,Acesso Aberto,,Vírus de computador,Dissertação
Detecção e rastreamento de agrupamentos de indivíduos monitorados por dispositivos eletrônicos,"Machado, Paulo Lima",2016-11-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23074,,Acesso Aberto,,Sistemas de telecomunicações||Geoprocessamento||Monitoramento dos deslocamentos||Pena (Direito),Dissertação
