dc.title[pt_BR],dc.identifier.uri,dc.date.issued[pt]
Theoretical prediction of electron mobility in birhodanine crystals and their sulfur analogs,https://repositorio.unb.br/handle/10482/41107,2021
Nest and nest-site reuse within and between breeding seasons by three neotropical flycatchers (Tyrannidae),http://repositorio.unb.br/handle/10482/5890,2007
Concepções sobre o processo de inclusão : a expressão de seus atores,http://repositorio.unb.br/handle/10482/14028,2003-01
The sub-supersolution method for a nonhomogeneous elliptic equation involving Lebesgue generalized spaces,https://repositorio.unb.br/handle/10482/44999,2021-12-20
Estimation of aboveground biomass stock in tropical savannas using photogrammetric imaging,http://repositorio.unb.br/handle/10482/48681,2023-07-27
Lesões anorretais em pacientes HIV positivos usuários de terapia anti-retroviral de alta efetividade,http://repositorio.unb.br/handle/10482/26859,2007-06
Sobre a dissensão com a metafísica da música schopenhaueriana: contextualizando a anotação 12[1] na filosofia do jovem Nietzsche,http://repositorio.unb.br/handle/10482/14055,2011-01
Marketing da informação eletrônica,http://repositorio.unb.br/handle/10482/13014,1994-05
Monitoring of urban growth in Brasília,https://repositorio.unb.br/handle/10482/39368,2016-09-13
Representações de mulheres estudantes de direito sobre direitos reprodutivos : entre saberes e valores,https://repositorio.unb.br/handle/10482/36509,2019
"De mochila nas costas, reconstruindo as trilhas da revista Realidade e em busca de novas narrativas: revista Campus Repórter-UnB",http://repositorio.unb.br/handle/10482/9551,2009-07
A prática pedagógica na educação de mulheres adultas em situação de privação de liberdade no Distrito Federal,http://repositorio.unb.br/handle/10482/32466,2018-08
Influence of economic scarcity on race perception,http://repositorio.unb.br/handle/10482/48749,2023-04-14
"Composição florística e estrutura da vegetação arbustivo-arbórea em um cerrado rupestre, Cocalzinho de Goiás, Goiás",http://repositorio.unb.br/handle/10482/5925,2009
O peso do gênero : diferenças da vivência da ‘gordidade’ entre mulheres e homens,http://repositorio.unb.br/handle/10482/51507,2024
Ainda vale a pena legislar : a atuação dos agenda holders no Congresso brasileiro,http://repositorio.unb.br/handle/10482/28861,2013-12
Background and the use of isoscapes in the Brazilian context : essential tool for isotope data interpretation and natural resource management,https://repositorio.unb.br/handle/10482/36596,2019
As contribuições a partir do olhar atento: estudos do meio e a educação para a vida||Contributions of attention: studies of the environment and education for life,http://repositorio.unb.br/handle/10482/27365,2008
"Mercury pollution and congenital malformations detected at birth in Porto Velho, Brazil, from 1997 to 2007",http://repositorio.unb.br/handle/10482/24434,2011-10
Etude matricielle des machines synchrones autopilotees a double etoile et a commutation naturelle de courant,http://repositorio.unb.br/handle/10482/16125,1989
Aplicação de recursos financeiros para aquisição de medicamentos para atenção básica em municípios brasileiros,http://repositorio.unb.br/handle/10482/30766,2017-08
An alkaline-acid glycerol electrochemical reformer for simultaneous production of hydrogen and electricity,http://repositorio2.unb.br/jspui/handle/10482/46327,2022-04-12
Filosofar acadêmico e pensamento insurgente : (dis-pensando a filosofia a partir de Oswald de Andrade e Raul Seixas),https://repositorio.unb.br/handle/10482/44363,2018-03-14
Active search for leprosy cases in midwestern Brazil : a serological evaluation of asymptomatic household contacts before and after prophylaxis with bacillus Calmette-Guérin,http://repositorio.unb.br/handle/10482/28687,2013-06
Perfil e grau de dependência de idosos e sobrecarga de seus cuidadores,http://repositorio.unb.br/handle/10482/28070,2011
Análise dos recursos públicos aplicados no restaurante universitário de uma instituição federal de ensino superior,http://repositorio.unb.br/handle/10482/14432,2011-08
Air pollution and Covid-19 mortality in Brazil,http://repositorio2.unb.br/jspui/handle/10482/46592,2022-12-20
"Environment, interactions between Trypanosoma cruzi and its host, and health",http://repositorio.unb.br/handle/10482/33959,2009
Endemic leishmaniasis in Brazil : future implications,http://repositorio.unb.br/handle/10482/25380,1994-09
